0|Threat|An action or mechanism that can be used for exploitation.|Fundamentals|5|risk,attack,danger,adversary,malicious|0||3|1,4,5
1|Vulnerability|A flaw or weakness that can be exploited.|Fundamentals|5|risk,weakness,exposure,flaw,bug|0||2|0,4
2|Threat Actor|The entity tied to a threat; may be intentional or unintentional, internal or external.|Fundamentals|5|attacker,insider,external,adversary,actor|5|6,7,8,9,10|1|0
3|Attack Surface|Points where vulnerabilities may be discovered: ports, software, users, devices.|Fundamentals|5|surface,exposure,entrypoints,interfaces,assets|0||2|1,4
4|Threat Vector|Path or mechanism to exploit vulnerabilities in an attack surface.|Fundamentals|5|vector,pathway,exploit,route,channel|0||5|0,1,3,14,15
5|Risk|Risk = Impact x Likelihood. Measures chance and damage of exploitation.|Fundamentals|5|metric,risk,likelihood,impact,probability|0||2|0,1
6|Black Hat Hacker|Performs unauthorized exploitation and breaks security policies.|Attackers|5|unauthorized,malicious,blackhat,criminal,intruder|0||1|2
7|White Hat Hacker|Performs authorized ethical exploitation for remediation or testing.|Attackers|5|ethical,whitehat,testing,authorized,pen-tester|0||1|1
8|Advanced Persistent Threat (APT)|Prolonged and targeted attack maintaining unauthorized access over time.|Attackers|5|apt,targeted,persistent,stealth,advanced|0||3|6,9,10
9|External Threat Actor|Attacker with no initial access, requires recon and infiltration.|Attackers|5|external,reconnaissance,unauthorized,outsider,remote|0||1|8
10|Internal Threat Actor|Attacker with initial access, e.g. employees, contractors.|Attackers|5|insider,internal,authorized,employee,contractor|0||1|8
11|Chaotic Motivation|Motivated by disruption or vandalism without specific goal.|Nature of Attacks|5|chaotic,disruption,vandalism,random,destructive|0||2|14,15
12|Financial Motivation|Driven by extortion, fraud, or blackmail for monetary gain.|Nature of Attacks|5|extortion,fraud,blackmail,profit,monetary|0||1|4
13|Political Motivation|Aims to cause political change or exfiltrate classified info.|Nature of Attacks|5|espionage,politics,nation-state,ideology,activism|0||1|8
14|Brute Force|Trial-and-error password guessing, sometimes automated.|Nature of Attacks|5|password,guessing,bruteforce,cracking,automation|0||1|4
15|Social Engineering|Exploiting human trust via trickery, impersonation, or coercion.|Nature of Attacks|5|trickery,impersonation,coercion,phishing,deception|0||1|4
16|MAC Filtering|Limits network access to allowed MAC addresses on switch ports.|Port Security|5|mac,filtering,access control,whitelist,network|0||1|17
17|Port-Based Network Access Control (PNAC)|IEEE 802.1X-based framework for authentication via RADIUS.|Port Security|5|802.1X,pnac,radius,authentication,port|0||1|16
18|Air Gap|Full physical isolation from all networks, used for legacy or high-risk hosts.|Port Security|5|isolation,airgap,offline,segmentation,physical|0||0|
19|Firewall|Security control for filtering traffic using stateless or stateful inspection.|Network Security|5|firewall,inspection,filtering,packet,acl|0||3|20,21,23
20|Proxy Server|Intermediary for enforcing traffic policies and obfuscating endpoints.|Network Security|5|proxy,forward,reverse,caching,anonymization|0||1|19
21|IDS / IPS|Detects or actively prevents attacks using signatures or heuristics.|Network Security|5|ids,ips,detection,prevention,signature|0||1|19
22|Web Application Firewall (WAF)|Protects HTTP apps from injection, DoS, and other threats.|Internetwork Security|5|waf,http,web apps,layer7,protection|0||2|19,20
23|VPN|Creates an encrypted tunnel for secure remote access to private resources.|Internetwork Security|5|vpn,tunnel,remote,encrypted,secure|1|24|1|19
24|IPSec|Secures transmission paths at the network layer.|Internetwork Security|5|ipsec,network layer,secure path,encryption,authentication|0||1|23
25|File Evidence Sources|On-disk logs, databases, and other files that preserve forensic artifacts.|Evidence Sources|5|file,artifact,windows,evidence,forensics|8|34,35,36,37,38,39,40,41|0||
26|Registry Evidence Sources|Registry hives or keys whose values reveal forensic artifacts.|Evidence Sources|5|registry,artifact,windows,evidence,forensics|7|27,28,29,30,31,32,33|0||
27|Account Usage (Reg)|Registry keys that track local-account logon times and status.|Registry Evidence Sources|5|account,logon,registry,authentication,sam|1|42|0||
28|Browser Usage (Reg)|Registry keys that store Explorer or Start search terms and typed URLs.|Registry Evidence Sources|5|browser,history,registry,search,typedurl|2|43,44|0||
29|Deleted File Knowledge (Reg)|Registry traces that remain after files or drives are removed.|Registry Evidence Sources|5|deleted,mru,registry,recycle,thumbcache|3|45,46,47|0||
30|External Device / USB Usage (Reg)|Registry artifacts showing every USB device ever attached.|Registry Evidence Sources|5|usb,device,registry,removable,serial|4|48,49,50,51|0||
31|File / Folder Opening (Reg)|MRU and ShellBag registry keys proving user file or folder access.|Registry Evidence Sources|5|mru,shellbags,registry,fileaccess,recent|5|52,53,54,55,56|0||
32|Network / Location (Reg)|Registry keys tying a host to Wi-Fi or LAN profiles and SRUM stats.|Registry Evidence Sources|5|network,location,registry,ssid,timezone|6|57,58,59,60,61,62|0||
33|Program Execution (Reg)|Registry caches that log GUI launches and execution metadata.|Registry Evidence Sources|5|execution,userassist,registry,shimcache,run|5|63,64,65,66,67|0||
34|Account Usage Logs (File)|EVTX and hive files revealing logons, password changes, and RDP sessions.|File Evidence Sources|5|account,logon,file,evtx,log|3|69,70,71|0||
35|Browser Usage Files (File)|History, cookie, and WebCache databases capturing web activity.|File Evidence Sources|5|browser,history,file,cookies,cache|7|72,73,74,75,76,77,78|0||
36|Deleted File Knowledge (File)|Thumb-cache, Recycle-bin, or WebCache files that survive deletions.|File Evidence Sources|5|deleted,thumb,recycle,webcache,carve|4|79,80,81,82|0||
37|External Device / USB Logs (File)|Text or EVTX logs and LNK files proving USB connections and use.|File Evidence Sources|5|usb,log,file,plugplay,setupapi|3|83,84,85|0||
38|File Download Artifacts (File)|Browser, mail, and IM records of downloaded or transferred files.|File Evidence Sources|5|download,transfer,file,attachment,zoneid|9|86,87,88,89,90,91,92,93,94|0||
39|File / Folder Opening (File)|JumpLists, Layout.ini, and ActivitiesCache showing recency of use.|File Evidence Sources|5|open,jumplist,file,prefetch,timeline|3|95,96,97|0||
40|Network / Location Logs (File)|Operational EVTX logs tying the host to specific SSIDs or BSSIDs.|File Evidence Sources|5|network,wifi,evtx,ssid,connection|2|98,99|0||
41|Program Execution Files (File)|On-disk caches that definitively prove or fingerprint execution.|File Evidence Sources|5|execution,prefetch,file,amcache,srum|5|100,101,102,103,104|0||
42|SAM RID Subkeys|HKLM\SAM\Domains\Account\Users\<RID sub-keys>`Shows LastLoginTime & PasswordLastSet (REG_BINARY).`Offsets 0x08 = last-logon FILETIME  0x0C = password-change FILETIME.|Account Usage (Reg)|5|sam,lastlogin,password,timestamps,hive|0||0||
43|Explorer WordWheelQuery|HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\WordWheelQuery`Search strings typed in Explorer / Start (REG_BINARY).`Keeps last Explorer / Start-menu search terms.|Browser Usage (Reg)|5|search,explorer,query,wordwheel,history|0||0||
